importance,stddev,p_value,n,p99_high,p99_low
1.22580553792871,0.10693317980865003,6.879407675775975e-06,5,1.4459824331283309,1.0056286427290893
0.5306224767111212,0.18094622084355258,0.0013987204127138778,5,0.9031932463705453,0.15805170705169702
0.38891719992493384,0.1562244162696179,0.0025506305994397165,5,0.7105854322749754,0.0672489675748923
0.36516816141033076,0.18529032272324866,0.005814669384935788,5,0.7466834968819178,-0.016347174061256353
0.198158527564497,0.036067704645355414,0.00012608397341922495,5,0.27242242993793897,0.12389462519105507
0.1870581139322978,0.08512131028813122,0.003982166824078153,5,0.362324068317096,0.01179215954749957
0.1375617076935177,0.029102294756611358,0.00022668229255420677,5,0.19748373483384002,0.07763968055319535
0.13419046275874233,0.037536526474557345,0.0006639073247674003,5,0.21147868957978616,0.0569022359376985
0.12885711468184757,0.01204923026860961,9.06856454680749e-06,5,0.15366664634297522,0.10404758302071992
0.09910510471484567,0.03804993377565278,0.0021643960189883116,5,0.17745044426488799,0.020759765164803337
0.08718587623921872,0.018931080307332804,0.00025077178905612697,5,0.12616523224735315,0.04820652023108429
0.08712828764032274,0.025787415155379908,0.0008223942451552892,5,0.14022493186520446,0.034031643415441
0.07225024178559304,0.0212073651747723,0.000796998383274484,5,0.11591649979738572,0.028583983773800364
0.042906243134457595,0.009135902060011442,0.00023243279040236294,5,0.06171719174760661,0.024095294521308576
0.041567809119257934,0.059836066790481535,0.0976464021133523,5,0.16477109766319087,-0.08163547942467499
0.025347590693609257,0.015215602846126016,0.010192258927392903,5,0.05667672725576303,-0.005981545868544519
0.021464052387743023,0.02488544950713788,0.0630061594524506,5,0.07270353687640435,-0.0297754321009183
0.020978646205801026,0.016734160256509152,0.02432560625266515,5,0.05543451346462758,-0.013477221053025526
0.01605564140614606,0.018159361927871272,0.05960340998007415,5,0.05344601860468767,-0.021334735792395556
0.013384154234264412,0.02257960583480104,0.1278301423927574,5,0.05987587473143775,-0.033107566262908936
0.009327406805989308,0.024787742201890693,0.22373926031534072,5,0.060365710602688194,-0.04171089699070958
0.0024597725710964356,0.014537070905372153,0.36219411452031636,5,0.03239180248892994,-0.027472257346737073
