,importance,stddev,p_value,n,p99_high,p99_low
drift_score,0.846883792379623,0.11289619931650671,3.7015384024023705e-05,5,1.079338627163609,0.614428957595637
max_rolling_std_half,0.2881240562747841,0.09512097790678997,0.0012397989975724399,5,0.48397946449649487,0.0922686480530733
max_dev_tail_50,0.2861116710524307,0.0685626698208851,0.00036715362674102973,5,0.4272831558504362,0.14494018625442515
std_all,0.2093668571256401,0.06284741762797219,0.0008674480742510725,5,0.33877055866525796,0.07996315558602221
crossing_rate,0.1984165052110387,0.06280193319871838,0.0010589324484047075,5,0.32772655368216136,0.06910645673991606
std_tail_50,0.15356331495283287,0.058663336527019966,0.0021251446142795385,5,0.27435193567544364,0.03277469423022211
x_end,0.12864825082965287,0.024727717851651204,0.00015602907293046415,5,0.17956296365958396,0.07773353799972177
ringing_energy,0.12102362553067696,0.03194929117799393,0.0005323903121310741,5,0.1868076576522983,0.05523959340905564
mid_to_tail_ratio,0.07700227806904758,0.028676540670363522,0.0019361868356661184,5,0.1360476716612388,0.01795688447685636
max_slope,0.04318873782429407,0.015248207121320556,0.0015908650095486179,5,0.07458500703971238,0.011792468608875763
