,importance,stddev,p_value,n,p99_high,p99_low
ringing_energy,1.1335960893058776,0.09716439721497103,6.414078058220295e-06,5,1.3336589261261895,0.9335332524855657
x_end,0.12587963039398198,0.018079990884786554,4.969355655056214e-05,5,0.16310658151778776,0.0886526792701762
max_slope,0.06523888216018676,0.004472670640410263,2.634547578048043e-06,5,0.07444817282766929,0.056029591492704235
mean_all,0.058879598369598406,0.008557597251033841,5.207091896756595e-05,5,0.07649980938804066,0.041259387351156154
min_slope,0.04250944509506226,0.008018642147215137,0.00014498218275032273,5,0.05901994010559064,0.025998950084533876
peak_rel,0.031079135303497325,0.00435707035852451,4.5163528097779436e-05,5,0.04005040339281139,0.022107867214183254
wave_id,0.030671489830017107,0.008496493776074936,0.000639767062198791,5,0.048165887948979205,0.013177091711055012
settle_idx,0.02943026416778563,0.004259055539129947,5.119492383386914e-05,5,0.03819971838925752,0.020660809946313738
x0,0.026776642570495623,0.0034564969051773886,3.259218920504401e-05,5,0.033893617472120066,0.01965966766887118
std_all,0.02353696386337282,0.0052294423947788875,0.0002741218735108243,5,0.03430445803279755,0.012769469693948087
std_last,0.0140422696685791,0.0016097573440534015,2.0365825271373086e-05,5,0.01735678228919599,0.010727757047962208
mean_last,0.0039455120849609445,0.0015727042144751283,0.0024804408115837594,5,0.007183731799647496,0.0007072923702743923
trough_rel,0.003403404788970954,0.0014054911927027013,0.0028185020202034345,5,0.006297330580698512,0.0005094789972433962
band_3std_last,0.0024613606834411605,0.0002730646865382549,1.7883348081183575e-05,5,0.0030236046471784784,0.001899116719703843
