,importance,stddev,p_value,n,p99_high,p99_low
crossing_rate,0.61262806473732,0.054011469506316086,7.175465887551411e-06,5,0.7238384269686665,0.5014177025059735
std_all,0.29572866456270225,0.05167703283416337,0.00010747799684538468,5,0.40213238942074264,0.18932493970466185
max_slope,0.18462674862682835,0.04025030940338532,0.00025471084078073654,5,0.2675026920067951,0.10175080524686157
ringing_energy,0.14983397574067134,0.02929579941852313,0.00016677954560075661,5,0.21015443165438866,0.08951351982695402
mid_to_tail_ratio,0.14088638308882723,0.04378302503139155,0.0009884980725818927,5,0.23103623677417773,0.05073652940347673
std_tail_50,0.14024074432373063,0.035295977780094044,0.00044337155931313386,5,0.2129156504152006,0.06756583823226064
max_dev_tail_50,0.11638586833477035,0.024631295032891933,0.00022700149127692388,5,0.16710204524817113,0.06566969142136958
drift_score,0.11526321314692516,0.0264382373405701,0.0003100851607806515,5,0.16969990924643202,0.060826517047418274
max_rolling_std_half,0.10936995820164688,0.020512948017311173,0.00014177559320740327,5,0.151606401688362,0.06713351471493176
x_end,0.06338207210361975,0.010352019150915076,8.243747884394125e-05,5,0.0846970226154638,0.0420671215917757
