,importance,stddev,p_value,n,p99_high,p99_low
max_rolling_std_half,0.13649296747302733,0.00935227010525802,2.628419274126307e-06,5,0.15574942088186325,0.11723651406419142
mid_to_tail_ratio,0.0661608285842356,0.009889693251114001,5.816741263407851e-05,5,0.08652384367836623,0.04579781349010496
max_slope,0.03187976007681742,0.0029817851966588474,9.077737592585658e-06,5,0.03801929700938911,0.025740223144245733
ringing_energy,0.023728823262897873,0.005193910185609835,0.0002587068352251731,5,0.03442315612253621,0.01303449040325954
std_all,0.01802872509583294,0.001733632226135875,1.0134763068244627e-05,5,0.021598297810790465,0.014459152380875417
logic_noise_energy,0.015273043745157675,0.004804716575265114,0.0010349292841925163,5,0.025166021581868876,0.005380065908446472
crossing_rate,0.013380614245062946,0.001722679261997946,3.225204280404667e-05,5,0.01692763465547442,0.00983359383465147
x_end,0.01321129137593548,0.0025921979642522224,0.0001690839257584274,5,0.018548662812314144,0.007873919939556818
logic_global_range,0.009968292918183089,0.0008063343768243163,5.0930667286829e-06,5,0.011628546544789804,0.008308039291576374
logic_heavy_amp,0.009689450834160169,0.0017576026958798763,0.00012440864791465986,5,0.013308379077627693,0.006070522590692644
drift_score,0.009485412893633683,0.0011808056572578133,2.823249439332553e-05,5,0.011916708062396095,0.007054117724871271
max_dev_tail_50,0.007571604831949186,0.0008490254072932696,1.8658045197619603e-05,5,0.009319759880344222,0.00582344978355415
logic_heavy_crossing,0.00653198166254213,0.000777427680988054,2.363104906847977e-05,5,0.008132716002888986,0.0049312473221952745
std_tail_50,0.004699427314822785,0.0006103197202613494,3.3383126010456805e-05,5,0.0059560840543558865,0.003442770575289683
