wait_time_ms,x_end,ringing_energy,crossing_rate,ptp_intensity,drift_score,noise_floor,max_slope,wave_id,pred_wait_time_ms,error_ms,abs_error_ms
0.0,1.182008067401509,1.3174679444104376,0.01,0.131825558339202,0.0168052992856953,0.0411605237498443,0.0063458183922178,1.0,0.017602993,0.017602993175387383,0.017602993175387383
8.75,1.6733286518057269,0.9991511609744648,0.01,0.0936872299313023,0.0,4.440892098500626e-16,0.0043985486237265,2.0,8.31869,-0.43130970001220703,0.43130970001220703
0.0,1.0602025568111402,0.9166831399017528,0.01,0.1527747874492877,0.0162606240597002,0.0480928712431939,0.0033301364639628,3.0,-0.0013897248,-0.0013897247845306993,0.0013897247845306993
1.74,3.346766570324834,4.834884705100025,0.45,0.004517959455824,0.0002145647947574,0.0008734189133973,0.0621436879052321,4.0,1.8172363,0.0772363042831421,0.0772363042831421
3.24,1.825050078971517,5.735215206628926,0.475,0.0018215254288034,6.156355804327163e-05,0.0003309889348122,0.0849279246788461,5.0,3.3329864,0.09298635482788065,0.09298635482788065
1.78,2.7021007654233933,4.394569855157661,0.49,0.0392390511158997,0.0004680843315745,0.0041048564620335,0.0371832101599389,6.0,1.770564,-0.009436039924621609,0.009436039924621609
3.83,0.9796721966898366,2.0601465398844514,0.445,0.018338188880744,0.000333074308436,0.0021184975048463,0.0155727477033867,7.0,3.8386369,0.00863687515258782,0.00863687515258782
2.0,2.9474382794221285,5.22316973849846,0.47,0.0028169359834335,0.0001234131903546,0.000451960103133,0.043645125543156,8.0,1.997934,-0.00206601619720459,0.00206601619720459
9.31,0.7749942546348078,0.7995492696997335,0.01,0.1239925761010262,0.0056223816290576,0.0207581322294274,0.0055343367000835,9.0,8.948237,-0.36176258087158253,0.36176258087158253
5.01,3.2959650834079506,1.6511333668322727,0.01,0.2067171887238501,0.0113395403136489,0.0686302147080941,0.0082470326459325,10.0,0.3264358,-4.683564195632934,4.683564195632934
9.21,3.288013404725949,2.7609400022672883,0.01,0.3478091713162281,0.0097920319023959,0.0014690829192176,0.0169619814899664,11.0,9.197078,-0.012922248840332884,0.012922248840332884
3.69,1.3209454779592429,2.249115645586654,0.505,0.0486222913678804,0.0007622704593847,0.0029922229963147,0.042228442824604,12.0,3.677762,-0.012237968444824165,0.012237968444824165
2.95,1.4928688749039327,5.248926035195316,0.54,0.0406332184921791,0.0012871020819358,0.0058262364194213,0.0314068681151353,13.0,3.029785,0.07978491783142072,0.07978491783142072
1.62,1.2764881821872616,2.438328126515536,0.51,0.0021675748416249,7.924351786964712e-05,0.0003332127897022,0.022350828782977,14.0,2.432434,0.8124340820312499,0.8124340820312499
0.0,2.6001732145836804,5.144075694032886,0.02,0.2465603568323309,0.031791560890457,0.0664860274167441,0.0227313222612295,15.0,0.010021871,0.010021870955824852,0.010021870955824852
