,importance,stddev,p_value,n,p99_high,p99_low
std_all,0.1843871615823195,0.02211741997473013,2.437307676480251e-05,5,0.22992723500551937,0.1388470881591196
ringing_energy,0.17781755852124995,0.027668391613757597,6.812821809434114e-05,5,0.23478715927178884,0.12084795777071107
std_tail_50,0.17611858486980542,0.033090743585343085,0.00014276314952727778,5,0.2442528832747075,0.10798428646490332
max_dev_tail_50,0.16139353956324856,0.03333947840876555,0.00020661293456339087,5,0.2300399864074581,0.09274709271903901
x_end,0.13222918445515472,0.013402519981955718,1.2493731290390225e-05,5,0.15982515834051358,0.10463321056979585
drift_score,0.12720330002978672,0.017175876423691998,3.893846951188482e-05,5,0.16256866698200897,0.09183793307756447
crossing_rate,0.08276799625207898,0.019419312761327853,0.00033841112726371215,5,0.12275262963107886,0.04278336287307911
max_slope,0.07064882042516955,0.016563387369086597,0.00033742868569200884,5,0.10475306394846093,0.03654457690187818
mid_to_tail_ratio,0.05794701308925867,0.01608476683345067,0.0006447139422814514,5,0.09106577031443686,0.024828255864080474
max_rolling_std_half,0.04943023581154522,0.016690513429831542,0.0013483206811497352,5,0.08379623365097932,0.015064237972111122
