,importance,stddev,p_value,n,p99_high,p99_low
max_slope,0.07383386518690402,0.007194302236518025,1.0681583787385261e-05,5,0.08864703292771867,0.059020697446089364
max_rolling_std_half,0.07215590281592446,0.005987968666795232,5.6394208654180696e-06,5,0.08448521306337806,0.05982659256847086
std_all,0.06141067500473148,0.006609140465519796,1.5852886003995587e-05,5,0.0750189865712656,0.04780236343819735
std_tail_50,0.0506852252831145,0.008109494499099916,7.602404918070899e-05,5,0.06738278654188659,0.033987664024342404
mid_to_tail_ratio,0.048115451384502864,0.004806716272186921,1.179451145382569e-05,5,0.058012546624814816,0.03821835614419091
logic_global_range,0.04509677736069645,0.006296047237559312,4.442913723146456e-05,5,0.05806042564345165,0.03213312907794125
logic_heavy_crossing,0.040225218478708455,0.004804071081244488,2.3955806031601768e-05,5,0.05011686723430951,0.030333569723107398
ringing_energy,0.037085575515149,0.0034205667856594406,8.587035879486122e-06,5,0.04412856980407896,0.030042581226219042
logic_heavy_amp,0.03242780974258277,0.0026053148951678865,4.957048351690728e-06,5,0.03779218912101204,0.027063430364153502
x_end,0.0313668987554232,0.004557047867171449,5.198822080095122e-05,5,0.040749923299024216,0.021983874211822182
max_dev_tail_50,0.030341543941177752,0.004081965670239103,3.8379504269131375e-05,5,0.0387463676749613,0.021936720207394206
crossing_rate,0.02958780535868133,0.0027032448751885606,8.269011823499189e-06,5,0.03515382391950933,0.02402178679785333
drift_score,0.019284749533645874,0.002704893225933996,4.525003285938978e-05,5,0.024854162071441355,0.013715336995850393
logic_noise_energy,0.016800234815663763,0.0017840282319631614,1.503228673878969e-05,5,0.020473573603166494,0.013126896028161032
