,importance,stddev,p_value,n,p99_high,p99_low
ringing_energy,1.149568248767853,0.11282947535179129,1.0994480615791187e-05,5,1.3818856979862666,0.9172507995494392
x_end,0.14288600090026857,0.022655249761032743,7.336333872728539e-05,5,0.18953347328706316,0.09623852851347398
max_slope,0.0699680305671692,0.0036292893043011172,8.655907543565545e-07,5,0.07744078740683416,0.06249527372750424
mean_all,0.04623810676574707,0.008345477471299123,0.00012199831083986256,5,0.06342156022590861,0.029054653305585522
max_diff_tail,0.041583368568420424,0.002574619055019514,1.7544377735194883e-06,5,0.046884544787722596,0.03628219234911825
min_slope,0.03474294479370118,0.0073011588411106216,0.00022086788892251733,5,0.049776131760287216,0.01970975782711514
std_all,0.029412008552551272,0.008002476193304688,0.0005974264597216404,5,0.04588921764054081,0.012934799464561733
x0,0.028131677818298357,0.010343651070690997,0.0018475672417848216,5,0.04942939833730187,0.0068339572992948405
peak_rel,0.023034813957214358,0.0069304954933677625,0.0008750210384653123,5,0.037304799967685945,0.008764827946742769
std_tail,0.018859514999389666,0.003401551558356903,0.00012166374666383523,5,0.025863356672485332,0.011855673326294
wave_id,0.015303540229797375,0.003323284841433968,0.0002508757198226766,5,0.02214622965098773,0.00846085080860702
abs_slope_tail,0.008068762893676779,0.005332741130373334,0.013850328918052263,5,0.01904895058743073,-0.002911424800077172
trough_rel,0.0,0.0,0.5,5,0.0,0.0
mean_last_k,-0.00022056886672974785,0.00020512628495797735,0.9629990422880897,5,0.00020178898914527914,-0.0006429267226047749
