,importance,stddev,p_value,n,p99_high,p99_low
max_rolling_std_half,0.07224166606425761,0.011442920081029215,7.307807519226502e-05,5,0.09580279666905986,0.04868053545945535
max_slope,0.03024231768251895,0.00978910984786407,0.0011516857018490988,5,0.0503982301591476,0.010086405205890298
std_tail_50,0.026110207725251255,0.0021550447013458716,5.518621719845075e-06,5,0.030547474551205548,0.02167294089929696
x_end,0.024332585949599563,0.009577420535678602,0.002369429588703011,5,0.04405262720658111,0.004612544692618015
ringing_energy,0.02277673912410457,0.00875796282858984,0.002176307076879471,5,0.04080950563608121,0.004743972612127934
std_all,0.022261695424554574,0.004659697328170702,0.00021748314615658863,5,0.03185607662711938,0.012667314221989768
max_dev_tail_50,0.01238471074588397,0.0010544181273175071,6.2445835454030295e-06,5,0.014555772243637986,0.010213649248129952
drift_score,0.011900854308071385,0.004094031510504449,0.0014450208051256072,5,0.020330521773728915,0.003471186842413855
crossing_rate,0.010628382015443033,0.0030435818541629327,0.0007257698525041016,5,0.016895159119936207,0.004361604910949857
mid_to_tail_ratio,0.010602325367133365,0.0009533219855167609,7.760111420738096e-06,5,0.012565228511622473,0.008639422222644256
