,importance,stddev,p_value,n,p99_high,p99_low
ringing_energy,0.05610384012222288,0.005745025237277947,1.3011610944108495e-05,5,0.06793292649046535,0.044274753753980406
max_rolling_std_half,0.043967911243438726,0.004308358648133555,1.0923093792741964e-05,5,0.05283888124779043,0.03509694123908702
std_all,0.019834519939422535,0.0050163297344711045,0.00045173035150241616,5,0.03016321219574355,0.009505827683101518
max_slope,0.01908462123870842,0.002135749985150142,1.8511061295321784e-05,5,0.02348215997733439,0.014687082500082452
settling_trend,0.009356353950500418,0.0033923026411562455,0.0017547042164209586,5,0.01634115197524631,0.002371555925754527
stability_ratio,0.0060629183006285945,0.0018298110320368775,0.000885306769095681,5,0.00983052450626865,0.0022953120949885386
x_end,0.0028802530288695614,0.0016022815246999127,0.007935209478672012,5,0.006179372834110816,-0.00041886677637169257
std_tail_50,0.0026060995864867543,0.0019327983383362981,0.0196778327996108,5,0.0065857580792331605,-0.0013735589062596515
max_dev_tail_50,1.2876110076853741e-05,0.0022458385981204477,0.4951926301102243,5,0.004637088824395014,-0.004611336604241306
mid_to_tail_ratio,-3.823446273811815e-05,0.0020087752045758345,0.5159542383831598,5,0.004097861447707381,-0.004174330373183618
