,importance,stddev,p_value,n,p99_high,p99_low
drift_score,0.43479790729783474,0.06461539445100617,5.684522373714004e-05,5,0.5678418975521161,0.30175391704355337
crossing_rate,0.39355969400883195,0.09119325902448257,0.0003224940713085517,5,0.5813278747650277,0.20579151325263617
max_rolling_std_half,0.3025677879868355,0.09697573195130457,0.0011098951297026636,5,0.502242160421627,0.10289341555204395
max_dev_tail_50,0.2604876255268092,0.06141794441889394,0.0003448969015690398,5,0.38694802197151557,0.13402722908210282
std_tail_50,0.24732338913666094,0.08486657705490042,0.001431482179343394,5,0.4220648442734495,0.0725819339998724
std_all,0.23885829070067963,0.03826275705430521,7.638534693157797e-05,5,0.31764183632299764,0.1600747450783616
mid_to_tail_ratio,0.19155851364462168,0.039812873645889146,0.00021157360396826947,5,0.2735337707538992,0.1095832565353442
x_end,0.18486735294752288,0.048158258902819974,0.000505958806226725,5,0.28402587364630305,0.08570883224874272
ringing_energy,0.1741851964743483,0.024132809656755804,4.310559302881557e-05,5,0.2238749851084847,0.1244954078402119
max_slope,0.15985589502399206,0.031043636076637633,0.00016241594364242663,5,0.22377517077443704,0.09593661927354709
