,importance,stddev,p_value,n,p99_high,p99_low
max_rolling_std_half,0.17079370747149608,0.002161892298810522,3.079904335190741e-09,5,0.17524507359527394,0.16634234134771822
ringing_energy,0.1262865094273134,0.0019041271763689436,6.200198326863251e-09,5,0.13020713360129144,0.12236588525333535
std_all,0.1259550845098652,0.002328706588954557,1.4014564641294736e-08,5,0.13074992356266815,0.12116024545706226
max_slope,0.11065922529326833,0.0017789057591678305,8.011113439334606e-09,5,0.11432201683848538,0.10699643374805128
logic_global_range,0.10138145538329328,0.0010243499895917843,1.250493723639738e-09,5,0.1034906061698842,0.09927230459670236
mid_to_tail_ratio,0.0570018477389956,0.0010227916120152615,1.2433337804477194e-08,5,0.0591077898046174,0.0548959056733738
drift_score,0.055162063726328356,0.0013762128497195626,4.645166870021688e-08,5,0.057995705005183924,0.05232842244747279
std_tail_50,0.05506669421402323,0.0013830414928041085,4.770906216452841e-08,5,0.057914395763371755,0.0522189926646747
logic_noise_energy,0.04890307081054407,0.0011115960087525914,3.201293611426415e-08,5,0.05119186235645523,0.04661427926463291
x_end,0.04807855674621218,0.001353827615303183,7.536505646908435e-08,5,0.0508661065180076,0.04529100697441675
max_dev_tail_50,0.03243043818697154,0.0005801352448592657,1.2282922318365375e-08,5,0.033624944674457966,0.031235931699485114
logic_heavy_amp,0.031749966129636716,0.0005340187444071986,9.599981371880555e-09,5,0.03284951810529456,0.03065041415397887
crossing_rate,0.029324709155014856,0.0007950340451789166,6.47684931715471e-08,5,0.030961695242576512,0.0276877230674532
logic_per_score,0.017059651332683896,0.0007576628804205414,4.6565403232824253e-07,5,0.018619689675483667,0.015499612989884124
logic_crossing_rate,0.00783681150264606,0.0004249738086253902,1.0336449804031816e-06,5,0.008711838448367983,0.006961784556924136
