,importance,stddev,p_value,n,p99_high,p99_low
crossing_rate,0.06635280275468888,0.009682812370529141,5.2907655259246006e-05,5,0.08628984725629765,0.046415758253080114
max_slope,0.0651138241129537,0.013655424308361088,0.0002191096109073989,5,0.09323053150189048,0.036997116724016926
std_all,0.04469701186069634,0.005151449131403778,2.080329359772465e-05,5,0.05530391682285027,0.034090106898542416
ringing_energy,0.030818861273463734,0.004021265862861196,3.400722628238862e-05,5,0.03909870326489567,0.022539019282031794
logic_heavy_amp,0.026625239296004865,0.004023725381643629,6.0730940275023345e-05,5,0.034910145470604,0.018340333121405733
max_rolling_std_half,0.023568874968095555,0.0023927083765567982,1.257304359831405e-05,5,0.028495494586170223,0.018642255350020887
logic_global_range,0.02348216909637032,0.0018390752873678933,4.477988601532338e-06,5,0.027268850531782553,0.019695487660958085
mid_to_tail_ratio,0.020393840701453846,0.002231373319143045,1.6926748394786244e-05,5,0.02498826920642613,0.015799412196481562
drift_score,0.016310533073616927,0.002146589315888425,3.518364656121891e-05,5,0.020730390144048493,0.011890676003185361
logic_heavy_crossing,0.0147718338809236,0.0022626141355724383,6.403549699876732e-05,5,0.019430587658717975,0.010113080103129224
std_tail_50,0.014630191889989819,0.0017035704051489389,2.1667594281145945e-05,5,0.01813786690003672,0.011122516879942916
logic_noise_energy,0.013315432052096393,0.0009371085044112621,2.9245365704750377e-06,5,0.015244951414895156,0.011385912689297631
max_dev_tail_50,0.013178543409421447,0.0008648789454991507,2.2133138110357773e-06,5,0.014959341112101576,0.011397745706741319
x_end,0.012617173211106978,0.0029570322341216024,0.00033697844795114985,5,0.01870574345169218,0.006528602970521776
