,importance,stddev,p_value,n,p99_high,p99_low
x_end,0.8082091020584107,0.09649697776878977,2.392936569594202e-05,5,1.0068977130143182,0.6095204911025032
stability_ratio,0.5379994877815246,0.09135635829669561,9.604920880545376e-05,5,0.7261034921934786,0.34989548336957066
std_all,0.38693776607513425,0.07101963109229573,0.00013027787057852907,5,0.5331681680897878,0.24070736406048063
max_rolling_std_half,0.3777289715576172,0.04009999347399054,1.5015480621391943e-05,5,0.46029541236137317,0.29516253075386123
settling_trend,0.3211746395492554,0.04804937820840545,5.8360221429829215e-05,5,0.42010897339334496,0.22224030570516587
ringing_energy,0.3048224484634399,0.03027968264570443,1.1532045492563483e-05,5,0.3671687335406349,0.24247616338624495
mid_to_tail_ratio,0.24972283977508553,0.040958444274281115,8.381139338229338e-05,5,0.3340568426416908,0.16538883690848027
max_slope,0.240844751625061,0.024445297635998314,1.2562377828366691e-05,5,0.29117795732750057,0.1905115459226214
max_dev_tail_50,0.17785262441635136,0.03182760561669123,0.000117987395904823,5,0.2433861042853772,0.11231914454732549
std_tail_50,0.16477186552047735,0.011807706083098028,3.1429925273506457e-06,5,0.18908409554541764,0.14045963549553706
