wave_id,wait_time_ms,spike_rate,x_end,std_all,ringing_energy,max_rolling_std_half,std_tail_50,max_dev_tail_50,mid_to_tail_ratio,crossing_rate,drift_score,max_slope,is_zero,pred_wait_time_ms,error_ms,abs_error_ms
1.0,4.66,0.01,3.393243283598515,0.2011412684853426,4.235342501250177,0.0004127556209972,0.0003791923820353,0.0012748175360535,1.0885095588475184,0.51,9.49348793611282e-05,0.0737394777340276,0,1.5994097394422904,-3.06059026055771,3.06059026055771
2.0,0.0,0.31,2.5098858204462484,0.4649783568205758,8.729274902030369,0.0137793266037063,0.0004262242236831,0.0016631231114248,32.328745081381214,0.525,5.630526972844496e-05,0.1064433000886906,1,0.0,0.0,0.0
3.0,0.0,0.2166666666666666,2.527524809210066,0.1346182465705077,1.8823156144081952,0.0093889688089584,0.0006381435666938,0.0016899069565079,14.712918199087948,0.465,0.0001548123538834,0.0346302288006352,1,0.0,0.0,0.0
4.0,0.0,0.23,0.6384068718702304,0.0183756016642641,0.3197166045824563,0.0023141539437146,0.0007984313682158,0.0030080209367346,2.898371904543148,0.44,0.0006870814592697,0.0122893133023437,1,0.0,0.0,0.0
5.0,0.0,0.2033333333333333,2.302317637520934,0.0643637118698121,1.4506808208049495,0.0035862734608165,0.004112565929512,0.0105914324113958,0.872027986968727,0.48,0.0007889563292057,0.0145842947665353,1,0.0,0.0,0.0
6.0,0.0,0.2033333333333333,2.788944450257272,0.0544266275693309,1.3697581806293375,0.0071278100292044,0.0003601069541945,0.0012785821264795,19.793536760795504,0.51,0.0005987140911519,0.0261442425436255,1,0.0,0.0,0.0
7.0,0.0,0.0833333333333333,3.4805124794169204,0.1463004081682627,5.036499866183878,0.2047573157712906,4.440892098500626e-16,0.0,204757224.84081644,0.005,0.0,0.0275083710141297,1,0.0,0.0,0.0
8.0,0.0,0.18,1.931546231100387,0.1213951091107532,3.243661353675624,0.0045191572583636,0.0003273582637836,0.0008339676578434,13.804885819116702,0.48,7.033466508194364e-05,0.0155550717158088,1,0.0,0.0,0.0
9.0,0.0,0.21,1.77714379847822,0.2288820100406985,2.374222215026468,0.0051090024423017,0.0003431329553849,0.0011157447588379,14.88923600280439,0.48,6.624617045923653e-05,0.0523599154294633,1,0.0,0.0,0.0
10.0,0.0,0.25,1.2745838199133637,0.3463006076834334,4.124540390634389,0.0094699269736323,0.0029057118763655,0.0074510035171093,3.2590718273159887,0.555,0.0007553895796035,0.0305712595839801,1,0.0,0.0,0.0
