wave_id,wait_time_ms,x_end,std_all,ringing_energy,max_rolling_std_half,std_tail_50,max_dev_tail_50,mid_to_tail_ratio,crossing_rate,drift_score,max_slope,logic_heavy_amp,logic_global_range,logic_noise_energy,logic_heavy_crossing,logic_flag_continuous,logic_flag_glitch,is_zero,pred_wait_time_ms,error_ms,abs_error_ms
1.0,0.0,1.0089856916570623,0.0410394209776209,3.061669221904363,0.0429632265756082,0.0113475631632759,0.0611641868586165,3.786118849598552,0.015,0.0256205064237269,0.0157025329186273,0.0,0.0,0.0130256789629105,0.0,0.0,1.0,1,0.0,0.0,0.0
2.0,4.28,0.8365635538781208,0.1479478355678543,2.083852369780532,0.0004686101758424,0.0001420636940567,0.0005543312645126,3.298568859446935,0.48,1.855816683968392e-05,0.0347408042250963,0.0002816690337301,0.8395243227474487,0.0001042381511709,0.0033333333333333,0.0,0.0,0,4.532221916655077,0.25222191665507676,0.25222191665507676
3.0,0.0,3.3745391867640926,0.0869488841070799,4.102591591256397,0.1051872871330212,4.440892098500626e-16,0.0,105187240.4205027,0.01,0.0430076691534149,0.0181890337802106,0.1186411797183133,0.1186411797183133,0.0195653977636015,0.0133333333333333,1.0,0.0,1,0.0,0.0,0.0
4.0,3.43,0.9104844331038058,0.1022148238937749,1.4559948254717572,0.0001048456047239,0.0001066437163708,0.0004274664902289,0.9831298567044005,0.46,2.144436529943339e-05,0.0086918597385138,0.0002250488544749,0.5920736212945757,7.703970508907476e-05,0.0033333333333333,0.0,0.0,0,3.4559000782963443,0.02590007829634411,0.02590007829634411
5.0,0.0,2.908073053984689,0.0325419739123075,0.3689272365268383,0.0161097332189069,0.0079615252255525,0.0268219068766528,2.023447861944208,0.01,0.0071296846117389,0.0006581183343756,0.0717106081925504,0.0910039185306708,0.000649795929004,0.0033333333333333,1.0,0.0,1,0.0,0.0,0.0
6.0,3.6,0.6695438009429937,0.1327194733910855,0.9248903168781184,0.0012663893545891,0.00108960388178,0.0023313028098802,1.162246403045049,0.18,0.0005987404596606,0.0092890391389303,0.0034899470924518,0.6710280519442926,0.0007538774211173,0.01,0.0,0.0,0,4.0025840831770845,0.4025840831770844,0.4025840831770844
7.0,3.02,3.428675229178187,0.1669667514107695,1.1656332937331646,0.0004351122823899,0.0003410058469289,0.0011958431505894,1.2759634778844648,0.465,0.0001112660739271,0.0017381983933231,0.0008919080213383,0.6654491603258945,0.0002974195394216,0.0033333333333333,0.0,0.0,0,3.164742041291052,0.14474204129105184,0.14474204129105184
8.0,4.5600000000000005,1.7746873407604655,0.4184211287655561,5.610694831268482,0.0034312055191308,0.0013795175548894,0.0027838623914533,2.487248545494112,0.095,0.0026575857588772,0.0640812863792998,0.0048894471396683,1.9166011135446,0.0015500127824286,0.0066666666666666,0.0,0.0,0,4.706923833226112,0.14692383322611136,0.14692383322611136
9.0,3.98,3.181217298648478,0.51929372869617,6.586203907825116,0.0068036068257689,0.0043372121311559,0.009088582991986,1.568658634019142,0.17,0.0023717484482042,0.1014779276015283,0.0059214044078275,3.2321738986151027,0.0030252527757336,0.0066666666666666,0.0,0.0,0,3.8167678988817064,-0.16323210111829356,0.16323210111829356
10.0,3.37,3.2023954086322526,0.1656347443406055,1.499719259784059,0.0009343743797788,0.0008316767892384,0.0021704229339056,1.1234812229798952,0.555,0.0001597123626901,0.003184831910163,0.0019564407795442,0.6397211410571377,0.0006580223993431,0.0033333333333333,0.0,0.0,0,3.586406408298803,0.21640640829880287,0.21640640829880287
