wait_time_ms,x_end,std_all,ringing_energy,max_rolling_std_half,std_tail_50,max_dev_tail_50,settling_trend,mid_to_tail_ratio,stability_ratio,max_slope,wave_id,pred_wait_time_ms,error_ms,abs_error_ms
6.26,2.092004918988001,0.0399570992734159,43.78417293584807,0.0290128177843048,0.0256773212143483,0.1034630171330786,0.9434222274277744,1.12990044452893,0.6426222383167262,0.2364813803324756,1.0,6.606195,0.3461949729919436,0.3461949729919436
4.0,2.1166594516288626,0.9487697660788408,31.338269696071027,0.0205717216369453,0.0191739985121085,0.0678303791235799,0.9208092691814312,1.0728967435278196,0.0202093270437392,0.1781062995232885,2.0,4.201842,0.2018418312072754,0.2018418312072754
9.99,2.50172708199341,0.0545797381461274,24.170826836123855,0.1200873534807301,0.0471982956384224,0.2988931967243076,0.7123963229881006,2.544315410377992,0.8647585418475073,0.9601138654787436,3.0,9.672506,-0.3174936676025393,0.3174936676025393
7.930000000000001,1.1944022480940095,0.046098807073047,22.603291148380592,0.0152120838208009,0.0129543797204082,0.0450802524098601,1.0927788032668493,1.174281052033307,0.2810133333573618,0.0969913453575535,4.0,8.025108,0.09510833740234315,0.09510833740234315
6.67,1.9375521429567168,0.4508885209555811,28.60238923435646,0.041328186455056,0.0142210633988249,0.0493005869807388,1.0982718461441698,2.906124696156425,0.031540087419271,0.1504409183840602,5.0,6.630974,-0.03902618408203118,0.03902618408203118
0.0,3.742243476986197,0.0396025106060632,42.1623651623823,0.0394384634781043,0.0258379224896564,0.0704089998177481,0.990251085245971,1.5263789868366382,0.6524314100750261,0.1841962489352995,6.0,1.6599618,1.6599618196487427,1.6599618196487427
3.48,1.3033272512733391,0.6089767581902973,26.71298882062921,0.0164045389924477,0.0162294175734063,0.0377351485790218,0.9468294358449908,1.0107903076286595,0.0266503069755653,0.1311268234839495,7.0,4.14534,0.6653399658203125,0.6653399658203125
9.96,1.1331822608747244,0.0666087726206286,41.66038268450154,0.0607243205000815,0.020416753350585,0.0459567888642831,0.917682068177662,2.974239659122972,0.3065174787163773,1.139845060162129,8.0,9.269697,-0.6903028106689462,0.6903028106689462
4.84,3.7077532998283367,0.0359589899121607,10.316903484774723,0.0080083141158309,0.0072112806524689,0.0245189134814962,1.1026805599401128,1.1105257708370346,0.2005417969064911,0.0496284110763096,9.0,3.3009188,-1.5390811824798583,1.5390811824798583
5.95,3.1183266608754043,0.2668561775718694,13.079941595150313,0.0285947346241445,0.0056647164696857,0.0130578654213864,1.1735572706821655,5.047865983990726,0.0212276009497007,0.0693473973570983,10.0,5.936818,-0.013181877136230646,0.013181877136230646
