,importance,stddev,p_value,n,p99_high,p99_low
tail_range,0.02965699798685074,0.02118367844880027,0.017584498272813442,5,0.07327448470248166,-0.013960488728780179
late2_energy,0.006354649101177878,0.003572309367500382,0.008216603669486114,5,0.013710083463423702,-0.0010007852610679456
tail_slope_abs_mean,0.005613251983596948,0.0034971787113691572,0.011490455619902393,5,0.012813991286452558,-0.0015874873192586614
late1_max_dev,0.005097476421219313,0.0025236085851945505,0.005342734116252292,5,0.010293621378112265,-9.86685356736388e-05
std_all,0.004703115402084794,0.0017370912287938583,0.0018784199873881705,5,0.008279810251323603,0.0011264205528459846
max_rolling_std_half,0.004473389136763578,0.0037704029418517276,0.02840241122142148,5,0.012236700906542983,-0.003289922633015826
ringing_energy_mid,0.003955135379711816,0.0033565810060228883,0.028946959575738725,5,0.01086638206399266,-0.0029561113045690262
late1_energy,0.0035550274237217544,0.0029579773190100767,0.02740272797363315,5,0.009645543607154786,-0.002535488759711277
max_slope,0.003065462264843946,0.0029819626307360314,0.041529720795204485,5,0.009205364536632957,-0.0030744400069450646
x_end,0.0028408504714053247,0.0014714599140481914,0.006238308157499106,5,0.005870606772167872,-0.00018890582935722272
max_abs_slope,0.0028233219374697778,0.0025256982061435504,0.03339889522518068,5,0.008023769452778351,-0.0023771255778387962
tail_target,0.0024254895438235364,0.001225433188358978,0.005729484581563722,5,0.004948673415941276,-9.769432829420319e-05
drift_score,0.0009403753280639637,0.00041444993968956276,0.003556301024024176,5,0.001793733482191692,8.701717393623531e-05
std_tail_50,0.0007855929716648711,0.0005374663768645282,0.015418233536360319,5,0.001892243670203704,-0.00032105772687396187
crossing_rate,0.000414092658905324,0.0004977900896943987,0.06819233254099179,5,0.0014390493337762943,-0.0006108640159656464
late2_max_dev,0.00011219739913940346,0.0006277304937663971,0.3549130173286651,5,0.0014047031619618617,-0.0011803083636830547
max_dev_tail_50,-8.568626798966944e-05,0.0005018248367360164,0.6389895017772089,5,0.000947578006806122,-0.001118950542785461
tail_slope_mean,-0.0005728636399684308,0.0020070287931454544,0.7209861112215192,5,0.0035596363852039444,-0.004705363665140806
tail_scale,-0.0006337509766993849,0.0007543590476185803,0.9332485502197847,5,0.0009194847286973273,-0.002186986682096097
tail_slope_abs_p95,-0.0009525875251465462,0.003195914271477336,0.7292147194757745,5,0.005627844132054742,-0.007533019182347835
mid_to_tail_ratio,-0.0022494659693020253,0.003672509606506331,0.8786707035253717,5,0.005312282069971527,-0.009811214008575576
