,importance,stddev,p_value,n,p99_high,p99_low
ringing_energy,0.7674233076477052,0.07369409855799469,1.0079783709505159e-05,5,0.9191604751393017,0.6156861401561087
x_end,0.184118880443573,0.011612928863089107,1.889099780510029e-06,5,0.20803006148040765,0.16020769940673835
mid_to_tail_ratio,0.12926683500289915,0.007333716859233162,1.2378494944237117e-06,5,0.14436705937879912,0.11416661062699916
max_rolling_std_half,0.1269885951042175,0.004378552502741896,1.6933881253346642e-07,5,0.13600409522538995,0.11797309498304505
std_all,0.07787539026260373,0.0033666470077740426,4.18108679555914e-07,5,0.08480736298361713,0.07094341754159034
max_slope,0.07700758100509641,0.011942798144253133,6.724672826303566e-05,5,0.10159796745112579,0.05241719455906704
stability_ratio,0.05864066789627074,0.0033250465478143116,1.2351425263322768e-06,5,0.0654869846952476,0.051794351097293884
settling_trend,0.050789876747131354,0.006437173805368907,3.0311589986653243e-05,5,0.06404410658358298,0.03753564691067974
max_dev_tail_50,0.04201314069747923,0.003682142367446826,7.008226226796586e-06,5,0.04959472272466817,0.034431558670290296
std_tail_50,0.03291465776443481,0.005693840112997016,0.00010330287329919126,5,0.04463835325432925,0.021190962274540363
