,importance,stddev,p_value,n,p99_high,p99_low
logic_decay_ratio,0.12702065932230672,0.027430530938271185,0.0002455200949700287,5,0.18350050165443516,0.07054081699017828
mid_to_tail_ratio,0.1181154089650164,0.017679417111421316,5.847412720536115e-05,5,0.15451757315294523,0.08171324477708757
crossing_rate,0.1119460182518089,0.02451664784117496,0.00025924825460329175,5,0.16242613501287184,0.06146590149074596
max_rolling_std_half,0.09426059301306769,0.0108260141498274,2.0517995965121038e-05,5,0.11655150577897933,0.07196968024715605
std_all,0.08666391885712987,0.010003187340482451,2.092694897439181e-05,5,0.10726061984992516,0.06606721786433459
drift_score,0.06187339327714682,0.012097664515383324,0.0001667833691713355,5,0.08678265172181397,0.036964134832479664
ringing_energy,0.06024001288804655,0.004043274080910836,2.4208594293739478e-06,5,0.06856517010462859,0.0519148556714645
x_end,0.04776844164197534,0.008824239056666412,0.00013360404038038372,5,0.06593767182359647,0.02959921146035422
logic_heavy_amp,0.04367258241716207,0.0036489344824371553,5.7939989397693986e-06,5,0.05118578895013435,0.03615937588418979
max_dev_tail_50,0.0418373986249531,0.004711544145244455,1.8978736219402825e-05,5,0.05153853314047193,0.03213626410943427
max_slope,0.04059190407240272,0.009895879294366305,0.00039227101465683675,5,0.06096765631509005,0.02021615182971539
logic_global_range,0.028060591011366424,0.005535771765988289,0.00017270295163564689,5,0.039458821590033166,0.016662360432699683
std_tail_50,0.014539406582339981,0.0015794845554075868,1.645329972617745e-05,5,0.017791587112720737,0.011287226051959226
