,importance,stddev,p_value,n,p99_high,p99_low
max_rolling_std_half,0.6354055006831884,0.14485783305256716,0.0003028540190568706,5,0.9336697810864469,0.33714122027992977
ringing_energy,0.4350223054218293,0.14825589512491766,0.001395571749468371,5,0.7402832425982665,0.12976136824539208
crossing_rate,0.35426307888984676,0.08235160229704118,0.0003265168410847194,5,0.5238261662395579,0.18469999154013558
x_end,0.3155706249853968,0.1314592709072239,0.002908079238533095,5,0.5862470807435847,0.0448941692272089
drift_score,0.22422438134193423,0.06970735823712124,0.0009898601803221526,5,0.3677527954102452,0.08069596727362324
std_tail_50,0.161465316836834,0.06564716268146197,0.002664382962471772,5,0.29663373213817623,0.026296901535491718
max_slope,0.1598086158657075,0.013694543048486938,6.408115816862314e-06,5,0.18800586928124186,0.13161136245017313
max_dev_tail_50,0.14678120152682061,0.04746920188460842,0.0011478558274818991,5,0.2445209443013231,0.049041458752318134
mid_to_tail_ratio,0.12187730640202762,0.042103523870507246,0.0014676918168327223,5,0.2085690439839444,0.03518556882011084
std_all,0.10869032267570478,0.050320015720757956,0.004231050804603109,5,0.21229993054127372,0.005080714810135847
