wait_time_ms,x_end,std_all,ringing_energy,max_rolling_std_half,std_tail_50,max_dev_tail_50,mid_to_tail_ratio,crossing_rate,drift_score,max_slope,wave_id,pred_wait_time_ms,error_ms,abs_error_ms
0.0,1.182008067401509,0.0322695992941322,1.3174679444104376,0.0416618190009856,0.0,0.0,41661819.00098566,0.01,0.0311565693219662,0.0063458183922178,1.0,-4.0708805e-05,-4.070880459039472e-05,4.070880459039472e-05
0.0,1.6733286518057269,0.0334401046795692,0.9991511609744648,0.0490865047396372,4.440892098500626e-16,0.0,49086482.94085983,0.01,0.0012987511507615,0.0043985486237265,2.0,-0.00024142921,-0.0002414292102912441,0.0002414292102912441
0.0,1.0602025568111402,0.0415873228131541,0.9166831399017528,0.0561823278335005,0.040207723249569,0.1194734228096672,1.3973018588363106,0.01,0.0443864902809519,0.0033301364639628,3.0,0.0021949369,0.002194936852902174,0.002194936852902174
2.28,3.346766570324834,0.5749868074315885,4.834884705100025,0.0008901258092545,0.0008902511447349,0.0027493615909821,0.9998580902262458,0.45,0.000184670639509,0.0621436879052321,4.0,2.4565787,0.17657873153686543,0.17657873153686543
4.69,1.825050078971517,0.307601619813392,5.735215206628926,0.0051078260472353,0.0003038798506261,0.0011120684102987,16.808647325787668,0.475,5.6224919761982406e-05,0.0849279246788461,5.0,4.0330744,-0.6569256210327152,0.6569256210327152
2.44,2.7021007654233933,0.1348158306953937,4.394569855157661,0.0064896989521277,0.0003488937459739,0.0012387689336375,18.60073568609404,0.49,0.0005489865720564,0.0371832101599389,6.0,2.9835527,0.5435526943206788,0.5435526943206788
4.47,0.9796721966898366,0.0955054749659225,2.0601465398844514,0.0036694869154535,9.743528471343216e-05,0.0003416871555124,37.66037391764048,0.445,0.0006787256670224,0.0155727477033867,7.0,4.3856077,-0.08439228057861303,0.08439228057861303
2.63,2.9474382794221285,0.1405704926705236,5.22316973849846,0.0070027030288212,0.0004995315474336,0.0012725909216926,14.018512036498697,0.47,9.840100812506412e-05,0.043645125543156,8.0,3.024197,0.3941971015930177,0.3941971015930177
0.0,0.7749942546348078,0.024635639702098,0.7995492696997335,0.0430667307180576,1.1102230246251563e-16,0.0,43066725.936690606,0.01,0.0195173369632392,0.0055343367000835,9.0,-0.0002580653,-0.0002580652944743633,0.0002580652944743633
5.21,3.2959650834079506,0.0742835975418938,1.6511333668322727,0.0753442918590139,4.440892098500626e-16,0.0,75344258.39944181,0.01,0.0455932238329049,0.0082470326459325,10.0,0.12528552,-5.084714478850365,5.084714478850365
0.0,3.288013404725949,0.0771229966158172,2.7609400022672883,0.1094694620538011,4.440892098500626e-16,0.0,109469413.43961586,0.01,0.0402097078771875,0.0169619814899664,11.0,1.4918712e-05,1.4918711713107768e-05,1.4918711713107768e-05
5.28,1.3209454779592429,0.0848099954343215,2.249115645586654,0.008034920547606,0.0002969687097846,0.0012883530300542,27.056363941742298,0.505,0.0012865326236194,0.042228442824604,12.0,4.475274,-0.8047259140014651,0.8047259140014651
3.3000000000000003,1.4928688749039327,0.1376541880770651,5.248926035195316,0.0073475756912848,0.0036739250451766,0.0113495619622723,1.999924767383684,0.54,0.0014412550126143,0.0314068681151353,13.0,4.006432,0.7064320564270017,0.7064320564270017
2.19,1.2764881821872616,0.0695400966093246,2.438328126515536,0.0004058613466039,0.0003361628924545,0.0007460474592424,1.2073317679673934,0.51,6.815710127733966e-05,0.022350828782977,14.0,3.3861716,1.196171579360962,1.196171579360962
0.0,2.6001732145836804,0.063573299846079,5.144075694032886,0.067443587353173,0.0729190933343194,0.2143595822846444,0.9249098328615772,0.02,0.039189399177996,0.0227313222612295,15.0,6.293356e-05,6.293356273090467e-05,6.293356273090467e-05
0.0,1.0289789608436104,0.0279037069145674,1.2997658636316642,0.0336661072028377,0.0,0.0,33666107.20283771,0.01,0.0122209613241541,0.0055274920300245,16.0,8.988537e-05,8.988536865217611e-05,8.988536865217611e-05
