,importance,stddev,p_value,n,p99_high,p99_low
max_slope,1.4190344677477864,0.18485174684883565,3.378631993777194e-05,5,1.7996467694321943,1.0384221660633786
max_rolling_std_half,1.0543996586119266,0.20326217189881515,0.00015782216955531449,5,1.4729192799333581,0.6358800372904951
ringing_energy,0.49671007017208035,0.05433939000147768,1.691725145160703e-05,5,0.6085956252353075,0.38482451510885324
std_all,0.2151656364896312,0.0198737339206584,8.63541987421867e-06,5,0.25608592931646057,0.17424534366280184
stability_ratio_smooth,0.18116200395443066,0.016540368059093303,8.246730382581986e-06,5,0.21521885040028516,0.14710515750857617
noise_floor,0.1359811001542502,0.008017187587174185,1.443261608031384e-06,5,0.1524886002055501,0.11947360010295029
tail_slope,0.10427026238398338,0.018484787223853993,0.00011371417201207006,5,0.142330694764809,0.06620983000315775
final_dist,0.06864042896381346,0.017456081143285788,0.0004614196575604804,5,0.10458274130652014,0.03269811662110679
std_tail_50_smooth,0.061119400859938444,0.008197356580648678,3.791535098094697e-05,5,0.07799787135900245,0.04424093036087444
x_end,0.05611478064100026,0.010017730587655989,0.00011687365305985734,5,0.0767414263807349,0.03548813490126562
max_dev_tail_50,0.05497063416154417,0.010932154244071457,0.00017820483091633747,5,0.07748009084851631,0.03246117747457203
