,importance,stddev,p_value,n,p99_high,p99_low
mid_to_tail_ratio,0.09403025900984094,0.009847307335128707,1.4225138920762704e-05,5,0.11430600091712223,0.07375451710255965
max_rolling_std_half,0.06176157085112281,0.006819856714133512,1.755420566029929e-05,5,0.07580375008596064,0.04771939161628498
max_slope,0.047419333841981715,0.0034612131497290905,3.382158978047026e-06,5,0.05454601955632354,0.04029264812763989
std_all,0.031802744385504636,0.005031600129154831,7.274280105467484e-05,5,0.04216287859553873,0.02144261017547054
logic_heavy_crossing,0.027519482015215598,0.004384871383970574,7.47975802188167e-05,5,0.03654799280017412,0.018490971230257072
max_dev_tail_50,0.023178979368501173,0.004052340460291342,0.00010767947406054077,5,0.03152280438553837,0.014835154351463981
logic_heavy_amp,0.022681824271416583,0.002168345991333446,9.901706381421176e-06,5,0.027146478637298656,0.01821716990553451
logic_noise_energy,0.021937409133713982,0.0011623828780526872,9.423510768960683e-07,5,0.024330771545463172,0.019544046721964792
ringing_energy,0.020653825994924938,0.0032140122953320488,6.815153358435318e-05,5,0.027271521733384353,0.014036130256465523
crossing_rate,0.016823461636350873,0.0018390460802615053,1.686561557801605e-05,5,0.020610082933927368,0.013036840338774378
drift_score,0.01639611800145061,0.002343183402435727,4.872001571970883e-05,5,0.02122076501330211,0.011571470989599115
x_end,0.01612351202193312,0.0026428378831038165,8.360362149449041e-05,5,0.021565151751145276,0.010681872292720967
std_tail_50,0.014307159097302935,0.002925959384634126,0.00019870188265901748,5,0.020331749911321,0.008282568283284868
logic_global_range,0.013202169708785983,0.0029940663274760975,0.00029678053147952886,5,0.019366993659453657,0.007037345758118309
