,importance,stddev,p_value,n,p99_high,p99_low
crossing_rate,0.382516692771087,0.09019257417607468,0.00034493431103395394,5,0.5682244495934765,0.19680893594869753
drift_score,0.3800321793683028,0.07719083585376883,0.0001934829571031036,5,0.5389691772819437,0.22109518145466187
max_rolling_std_half,0.2926784000010699,0.10315247773510784,0.0015806156007950186,5,0.5050707773764116,0.0802860226257282
max_dev_tail_50,0.283454859634883,0.07423257484948421,0.0005163185732910406,5,0.4363007572531897,0.1306089620165763
std_tail_50,0.26326085509508007,0.09804938558196434,0.0019367654762247504,5,0.46514589519487026,0.06137581499528988
std_all,0.22911947377703695,0.04406090448903458,0.00015632566844629687,5,0.3198414851063767,0.13839746244769718
mid_to_tail_ratio,0.18931850036856282,0.04512041993214429,0.0003595056110873243,5,0.28222206863932514,0.09641493209780051
ringing_energy,0.1799155753486535,0.021093571592637226,2.2263263380488338e-05,5,0.2233475308020356,0.13648361989527139
x_end,0.16629178585819765,0.050008412777104605,0.0008734460007157614,5,0.26925979895597396,0.06332377276042135
max_slope,0.13710370545098888,0.03148209901201446,0.0003113924060107099,5,0.20192578244557652,0.07228162845640124
