,importance,stddev,p_value,n,p99_high,p99_low
crossing_rate,0.4287260332612813,0.08439656584380321,0.00017125693424203261,5,0.6024997288181754,0.2549523377043872
max_dev_tail_50,0.33073369010977594,0.0841777559530628,0.0004628569173042715,5,0.5040568530773615,0.15741052714219042
ringing_energy,0.31240667210056067,0.05923854762941401,0.00014797175716842537,5,0.4343796604332631,0.19043368376785824
x_end,0.24287150196758636,0.04346962855905366,0.00011805730454731185,5,0.3323760679847936,0.15336693595037915
std_tail_50,0.15058168083508905,0.047521115774096845,0.0010472786745717255,5,0.2484283150255744,0.0527350466446037
drift_score,0.1297610537927023,0.033278150487192105,0.0004765231608969276,5,0.19828122559875017,0.061240881986654436
max_rolling_std_half,0.08010373321859901,0.03490767088904484,0.0034164670862176874,5,0.1519791100544271,0.008228356382770932
mid_to_tail_ratio,0.07818441472388653,0.018814696588409355,0.00037314583152789696,5,0.11692413504616364,0.03944469440160942
std_all,0.07700898670574698,0.022341608196959583,0.0007625032687582173,5,0.12301066677712783,0.03100730663436612
max_slope,0.07284743626933243,0.018099137467167598,0.0004219204166012727,5,0.11011381047089469,0.03558106206777018
