,importance,stddev,p_value,n,p99_high,p99_low
ringing_energy,0.8738348576736451,0.09711646969611795,1.8010120137076233e-05,5,1.0737990110702098,0.6738707042770805
x_end,0.22026997066497805,0.026228136197324833,2.367358368141419e-05,5,0.27427406560663653,0.16626587572331958
max_rolling_std_half,0.2013464984512329,0.015482159913362522,4.162125144897864e-06,5,0.23322447969903684,0.16946851720342895
max_slope,0.11236309703826897,0.007344632287523705,2.1781943313259807e-06,5,0.12748579643188643,0.0972403976446515
mid_to_tail_ratio,0.11109154687881469,0.022022228569611797,0.00017598789521085549,5,0.15643561988319088,0.0657474738744385
std_all,0.05939695428848263,0.012385184211658424,0.00021427326374499176,5,0.08489821976172474,0.03389568881524053
stability_ratio,0.043565090179443336,0.0046589052191375446,1.54585503699582e-05,5,0.05315784041856076,0.03397233994032591
max_dev_tail_50,0.03531606222152706,0.004109480084036102,2.1609236869745087e-05,5,0.043777538513608244,0.02685458592944588
settling_trend,0.02835599315643309,0.004075914370978848,4.984614243993561e-05,5,0.03674835718140193,0.019963629131464253
std_tail_50,0.025336894931793186,0.004413486204964514,0.0001061513771337059,5,0.03442432402867709,0.016249465834909285
