wait_time_ms,x_end,std_all,ringing_energy,crossing_rate,overshoot_intensity,tail_slope,noise_floor,max_dev_tail_50,max_slope,wave_id,pred_wait_time_ms,error_ms,abs_error_ms
2.54,2.433642559453729,0.3709072264293884,12.231704746782256,0.485,0.0231622578242673,5.061789054201592e-05,0.0088631581869516,0.0277588310611669,0.0784355484014796,1.0,2.768449,0.22844906806945797,0.22844906806945797
5.13,1.2309422487346482,0.2224490889151384,11.560767938715248,0.475,0.0269489468875656,4.371760731804721e-05,0.0099915352687984,0.0270581096642346,0.0440251166120693,2.0,4.633135,-0.4968651580810546,0.4968651580810546
6.28,3.0039240290462312,0.7251416960919296,13.162127986315587,0.5,0.0204383403620767,1.3969048636662471e-05,0.0089932943587979,0.0337183462759491,0.0444114406461029,3.0,4.80733,-1.4726698684692385,1.4726698684692385
0.0,2.96016138779354,0.0761544575562813,24.861661214607917,0.525,0.8295259780796802,0.0001139704759169,0.1223936415091359,0.8978447532803608,1.003977502751738,4.0,0.06849687,0.06849686801433563,0.06849686801433563
8.85,2.8187858121020613,0.0711110305753198,11.77798789177129,0.05,0.0260937478536589,8.227444715912088e-05,0.0187908238702799,0.0743267397493374,0.0466208370749523,5.0,8.669434,-0.18056640624999964,0.18056640624999964
3.3200000000000003,2.2994881253223967,0.1411281751686284,11.095092072593548,0.46,0.0256325158958077,5.636336044347412e-05,0.0106084154086736,0.0325683102328318,0.0411442912216712,6.0,3.300782,-0.01921803474426298,0.01921803474426298
2.39,2.70252275169496,0.3957781930002746,12.45070424851144,0.535,0.02177646409914,2.5249090543032664e-05,0.0086959613226529,0.0282864700243128,0.0774277042111264,7.0,2.5964036,0.20640359878540027,0.20640359878540027
4.19,1.1856102275774385,0.2031507657881457,11.249905643174907,0.495,0.0322205460852786,2.2992510712320527e-05,0.0112095445739282,0.0276032814361413,0.0412011452638687,8.0,4.181037,-0.008963050842285547,0.008963050842285547
4.89,1.252206160244148,0.7501656786279208,12.794453818463644,0.525,0.0292380452372331,9.698713906174436e-06,0.010389703125869,0.0362274831843045,0.0446782315904654,9.0,4.666289,-0.2237111473083493,0.2237111473083493
0.0,2.541020419853926,0.0802106718411985,26.50019430986658,0.46,0.580831419735707,0.000294884180753,0.0647875986012126,0.0250434443593405,1.1073917589248143,10.0,-0.06941114,-0.06941114366054535,0.06941114366054535
8.5,3.001484510169051,0.1221086975227052,11.192135261585925,0.03,0.0323415616924478,0.0013068906701362,0.0483104502477877,0.1615913589740687,0.0400462205741116,11.0,8.586361,0.08636093139648438,0.08636093139648438
4.74,2.884012043897193,0.1779248860586271,12.170787185601004,0.53,0.0246500681845738,6.715375654875653e-06,0.0100448898335786,0.0247059699235161,0.0423941479971876,12.0,4.586413,-0.1535870933532717,0.1535870933532717
