,importance,stddev,p_value,n,p99_high,p99_low
drift_score,1.9194754361719266,0.2561176467411817,3.715089233332547e-05,5,2.4468252107340884,1.3921256616097648
mid_to_tail_ratio,0.5794338768193406,0.08307519644579951,4.934475246256423e-05,5,0.7504868545224791,0.408380899116202
max_slope,0.3866862104078755,0.05306948023524962,4.152379843465844e-05,5,0.4959570037104208,0.2774154171053302
crossing_rate,0.3834637633939833,0.0465757063207458,2.5611027435114503e-05,5,0.47936378645307154,0.28756374033489507
max_dev_tail_50,0.3727041971555725,0.05139156210692058,4.230201689011887e-05,5,0.4785201338405952,0.2668882604705498
std_all,0.37238731693426613,0.08878553349519508,0.0003600396975423334,5,0.5551979575473556,0.18957667632117664
max_rolling_std_half,0.35116653651857754,0.06078278667401885,0.00010353781638564761,5,0.4763191343877731,0.22601393864938196
std_tail_50,0.26517277430510144,0.03032839557378074,2.0180239166832812e-05,5,0.32761935997448977,0.20272618863571312
ringing_energy,0.1848252686263621,0.015777100845045067,6.310110571649034e-06,5,0.21731053732901728,0.1523399999237069
x_end,0.1436394237172045,0.0257270292728768,0.0001183842001477194,5,0.19661173257539075,0.09066711485901827
