,importance,stddev,p_value,n,p99_high,p99_low
max_rolling_std_half,0.19170163959580405,0.0035802596307942807,1.4592646900829614e-08,5,0.19907344366005633,0.18432983553155177
std_all,0.12063872277733845,0.0019343335700617807,7.928863522830449e-09,5,0.12462154233342677,0.11665590322125012
max_slope,0.10802128784461078,0.001559248943409805,5.2081685948174796e-09,5,0.11123180297020221,0.10481077271901934
ringing_energy,0.10613667907859851,0.000868026171204349,5.367991440823339e-10,5,0.10792395696250492,0.1043494011946921
logic_global_range,0.10076270794336453,0.0012792719650460396,3.1170238426012934e-09,5,0.1033967466008119,0.09812866928591717
drift_score,0.06095605891851348,0.001384482967813325,3.191284579300332e-08,5,0.0638067284848293,0.058105389352197674
mid_to_tail_ratio,0.05743135601966727,0.0007436468340120232,3.3725221975116258e-09,5,0.05896253512918956,0.05590017691014498
logic_noise_energy,0.05206518945481671,0.0007432519958608014,4.982161191810698e-09,5,0.053595555587128384,0.050534823322505036
std_tail_50,0.05040509964536931,0.0006979448032869406,4.410183211570101e-09,5,0.051842177641959454,0.04896802164877916
x_end,0.04807585894925359,0.0009383536527047635,1.7406789055785822e-08,5,0.05000794208959845,0.04614377580890873
crossing_rate,0.03197199328632192,0.0002182831472446653,2.6070912399514084e-10,5,0.0324214413034924,0.03152254526915144
max_dev_tail_50,0.03167295821771442,0.0008163125460010745,5.2901510636609934e-08,5,0.03335375703256903,0.029992159402859802
logic_heavy_amp,0.025896588775970987,0.0009984778827079072,2.6466984705314224e-07,5,0.02795246853689749,0.023840709015044485
logic_per_score,0.014056270722818676,0.0006573093247638923,5.72156411367197e-07,5,0.015409679707487868,0.012702861738149484
logic_crossing_rate,0.007902225435577889,0.0004597828015572457,1.3691047640872392e-06,5,0.008848924578857912,0.006955526292297864
