,importance,stddev,p_value,n,p99_high,p99_low
max_rolling_std_half,0.18348062014292138,0.0026913746483043367,5.553828894351437e-09,5,0.1890221977425308,0.17793904254331197
logic_global_range,0.13918803690693388,0.003732872797823564,6.201974775564454e-08,5,0.1468740735914376,0.13150200022243017
std_all,0.13742026436816324,0.001838106109915315,3.8402265717263374e-09,5,0.14120495025380517,0.1336355784825213
ringing_energy,0.13230914281667433,0.002292572421290094,1.0812851579563404e-08,5,0.13702958111882887,0.12758870451451979
max_slope,0.11465018736496166,0.003452168220997206,9.852017096620255e-08,5,0.12175824944603034,0.10754212528389298
drift_score,0.07537025019334706,0.0019469594928583822,5.338543442780924e-08,5,0.0793790666989824,0.07136143368771172
std_tail_50,0.06751998775633643,0.000734193379974424,1.677355897885121e-09,5,0.06903170207333467,0.06600827343933818
logic_noise_energy,0.06082515659601416,0.000534951668137073,7.178962727682078e-10,5,0.06192662947452619,0.05972368371750213
mid_to_tail_ratio,0.05400533555893181,0.0015985527221801842,9.201004711979582e-08,5,0.05729677770824742,0.050713893409616205
x_end,0.05376665922704773,0.0015891848042881528,9.147890172474711e-08,5,0.05703881270394526,0.0504945057501502
max_dev_tail_50,0.05297520786050495,0.001291869116814327,4.2405320495781934e-08,5,0.05563518422755437,0.05031523149345553
logic_heavy_amp,0.034954871068473004,0.0009330955913434524,6.087548878082199e-08,5,0.03687612778780079,0.033033614349145216
crossing_rate,0.03383024035925837,0.0012640771766153332,2.3347868691589503e-07,5,0.036432992737312625,0.031227487981204116
logic_per_score,0.022545880841503364,0.0011145215073068175,7.142537435718279e-07,5,0.024840696029372365,0.020251065653634364
logic_crossing_rate,0.01220448146956824,0.0003905911119737009,1.2571887153949545e-07,5,0.013008713967664965,0.011400248971471514
