,importance,stddev,p_value,n,p99_high,p99_low
ringing_energy,0.3996137421821044,0.054938891329336145,4.180931193688241e-05,5,0.512733678765381,0.28649380559882776
std_tail_50,0.23444564149642977,0.05595619215589253,0.00036150835740589993,5,0.34966021454217766,0.1192310684506819
max_dev_tail_50,0.21035119891950602,0.04567989113843706,0.0002508856041976743,5,0.30440672613673897,0.11629567170227305
std_all,0.19961659769250126,0.04355376265518132,0.00025551815937589935,5,0.2892943969764921,0.1099387984085104
max_slope,0.19376709574186196,0.028615444349628365,5.5454735523108214e-05,5,0.2526866911652186,0.13484750031850531
drift_score,0.19215631115790494,0.04254106038819653,0.00027035514779453655,5,0.2797489424771413,0.10456367983866857
x_end,0.18943478892546928,0.02255349457368881,2.3661052111326074e-05,5,0.23587274597511657,0.142996831875822
crossing_rate,0.17054986209361817,0.04385672456006597,0.0004814688120515269,5,0.26085146412714505,0.0802482600600913
max_rolling_std_half,0.15140450622273535,0.03271774060214956,0.00024614524642827375,5,0.21877078632979288,0.08403822611567782
mid_to_tail_ratio,0.14415471661070306,0.018771641105325608,3.373797371462175e-05,5,0.1828057850982207,0.1055036481231854
