,importance,stddev,p_value,n,p99_high,p99_low
x_end,1.1181046616268158,0.04483649007032518,3.0963301597638095e-07,5,1.2104236143877647,1.0257857088658668
max_rolling_std_half,0.5479014975976944,0.0854044217043419,6.860450214310147e-05,5,0.7237503823014859,0.37205261289390273
max_slope,0.48641871862888325,0.09279605599011105,0.00015152072308140382,5,0.6774870804903164,0.29535035676745014
mid_to_tail_ratio,0.3105372979450226,0.01980489608413009,1.9745349881817192e-06,5,0.35131585271500015,0.26975874317504506
std_all,0.2318837926816939,0.04683633613152153,0.0001893081700570391,5,0.3283204561234562,0.13544712923993163
max_dev_tail_50,0.19835295139312742,0.031367214010208234,7.260832643735762e-05,5,0.2629384785811166,0.13376742420513826
stability_ratio,0.1893848295521735,0.008693712655189065,5.3137653653637e-07,5,0.20728530406908618,0.17148435503526083
std_tail_50,0.161718168772459,0.017888244723445215,1.7675222912890223e-05,5,0.1985503118998494,0.12488602564506864
settling_trend,0.13903768828153606,0.01799057192674658,3.2900132973862004e-05,5,0.1760805245348362,0.10199485202823594
ringing_energy,0.12894989523410794,0.026297834378774775,0.0001965483709848552,5,0.18309749969470307,0.07480229077351279
