,importance,stddev,p_value,n,p99_high,p99_low
std_all,0.013337554250444677,0.008087227918876037,0.010530115737751252,5,0.029989268312778955,-0.0033141598118896012
drift_score,0.0031170163835798014,0.0004356162825415583,4.4608271190528866e-05,5,0.004013956330189737,0.002220076436969866
max_rolling_std_half,0.003105858394077837,0.0026441605685368933,0.029199723763307157,5,0.008550221550878152,-0.0023385047627224776
crossing_rate,0.0021429487637111056,0.0016914267282072469,0.023601081528106742,5,0.005625619775091611,-0.0013397222476694
mid_to_tail_ratio,0.00208516120910644,0.0010447562155672732,0.005568022667215659,5,0.004236328697024913,-6.600627881203332e-05
x_end,0.0,0.0,0.5,5,0.0,0.0
spike_rate,0.0,0.0,0.5,5,0.0,0.0
max_dev_tail_50,0.0,0.0,0.5,5,0.0,0.0
std_tail_50,0.0,0.0,0.5,5,0.0,0.0
ringing_energy,0.0,0.0,0.5,5,0.0,0.0
max_slope,0.0,0.0,0.5,5,0.0,0.0
