,importance,stddev,p_value,n,p99_high,p99_low
mid_to_tail_ratio,0.1428113000490912,0.019205317235237343,3.831920986898095e-05,5,0.18235531368213823,0.10326728641604419
ringing_energy,0.07041585869978763,0.005098203873056728,3.274453294274835e-06,5,0.0809131309390773,0.059918586460497955
max_slope,0.042026261539220414,0.010602175389486096,0.00044739948903861344,5,0.06385628720380884,0.020196235874631978
max_rolling_std_half,0.039436250560492034,0.00498879537945573,3.008647149664326e-05,5,0.049708249199271165,0.029164251921712903
std_all,0.033579441377422484,0.004628385122472488,4.223607853707298e-05,5,0.04310935031567399,0.024049532439170976
crossing_rate,0.028860561099664016,0.002612145454799775,7.96567937675795e-06,5,0.034239004694783706,0.023482117504544323
logic_per_score,0.02300570640481619,0.004604393979245562,0.00018267646545911258,5,0.032486217247570615,0.013525195562061759
max_dev_tail_50,0.0224134913590733,0.005672686568840897,0.00045298895093959967,5,0.03409363140917724,0.010733351308969357
x_end,0.01439152951097974,0.0014538185750580324,1.2328438434626462e-05,5,0.01738496205093233,0.011398096971027146
std_tail_50,0.011629013702619153,0.0017078960432715833,5.425848103099454e-05,5,0.015145595261347252,0.008112432143891053
logic_heavy_amp,0.011473749113613065,0.0021632493232938044,0.0001447030647568065,5,0.01592790936955808,0.007019588857668051
logic_noise_energy,0.008023035243453061,0.001524652833130766,0.00014923916905923003,5,0.011162316499810903,0.00488375398709522
logic_crossing_rate,0.004674652283710917,0.0007994414728940572,9.876025805688583e-05,5,0.006320713325855171,0.003028591241566663
drift_score,0.0029038829527258474,0.0007087518612935479,0.00039401329605452933,5,0.004363212831121014,0.0014445530743306808
logic_global_range,0.002481945137587746,0.0013235206299802495,0.006885439764668823,5,0.005207092407716199,-0.00024320213254070723
