wave_id,wait_time_ms,x_end,std_all,ringing_energy,max_rolling_std_half,std_tail_50_smooth,max_dev_tail_50,noise_floor,stability_ratio_smooth,max_slope
1.0,2.25,3.051400280832269,0.39709288816331456,6.887977227652218,0.002742736583847776,0.0008007057389873045,0.006323456527067339,0.0024252255320223637,0.002016419232976982,0.10219125741679266
2.0,4.98,1.0540639083117511,0.14769156609231418,7.290153574196626,0.002833984719915657,0.0006890465589051256,0.009784671562240055,0.0025994191439272104,0.004665442804018994,0.06397123233901901
3.0,4.21,1.8012091491623776,0.29771837097695375,7.284989511985778,0.0026901259461614775,0.001020258906560771,0.006482217137484536,0.0024073169430262773,0.003426926258483466,0.055591996361736395
4.0,2.22,1.329861871263366,0.16204587555329736,5.982202942295624,0.0029112782087536496,0.0005722104291758351,0.004839878656079266,0.002003049514490493,0.003531163157907529,0.049181473644809404
5.0,4.57,1.2251790171585666,0.16462280855139466,7.667161144916101,0.0025643121235251914,0.0009278574760624583,0.007564151659022356,0.0023943622072866997,0.005636263155700695,0.06126413701897779
6.0,6.44,1.465410598769967,0.24537750511452613,9.117079079308123,0.020463618988760954,0.0006085565352889772,0.006042796134108297,0.0023994803378346845,0.0024800828116858555,0.0667789315948773
7.0,2.43,2.9379207276328745,0.4357224223527473,7.510412480632415,0.002677109352722939,0.0008053700296711309,0.0056238606078991005,0.002172191925003497,0.0018483557111292582,0.0838615864709184
8.0,2.38,2.77755170413031,0.4024120327246743,7.22469111011028,0.002545391002458664,0.0004460539122924591,0.005562853784350175,0.0021552481597957147,0.001108450729377651,0.09344748292555659
9.0,4.21,2.5823837221926498,0.3972852317276418,8.035210721716748,0.002722866734196251,0.0007538530714277762,0.007182075393634246,0.002586378023507894,0.0018975109299986966,0.06555210676035689
10.0,6.44,1.3596804468416113,0.22733779323798883,9.241642638984882,0.019594265001289746,0.0007023920709866198,0.008830710509841078,0.0025367475425856394,0.003089640564785809,0.0595423518521368
11.0,2.38,2.041893196581448,0.28303798460780616,6.913208077252198,0.002665547259556305,0.0008060268932462952,0.006388864982029396,0.0025751150188913718,0.002847769325079824,0.0713969225421397
12.0,2.33,1.9976194213468212,0.2601244612268276,6.547644418528847,0.0028213872576797064,0.0006803278317696188,0.006607270369122009,0.0024348362290218827,0.0026153935156485795,0.08141245774392439
13.0,2.91,1.2440739184881258,0.16613699233461515,6.086322945951452,0.0028552642947752673,0.0006910003238932859,0.0077854962258661065,0.0025898156605879416,0.004159220111209957,0.0530009828584772
14.0,4.2,2.551077451457886,0.3789480075008654,8.006289644336626,0.0027915329969125536,0.0007193327157520996,0.008067495649109802,0.002382397104045749,0.0018982359047031562,0.08112382039022631
15.0,4.96,2.302677574630556,0.34711803500996297,8.009161767210013,0.002675990652046994,0.0009562886372854525,0.005444177990007404,0.002359715087844026,0.0027549379118347083,0.06662972436317871
16.0,5.92,1.3217321036934773,0.21045468730699693,8.589614847576282,0.01662298137679814,0.001226802820700047,0.007624673703850338,0.0025859409094605634,0.005829296703100625,0.060613215092330586
17.0,4.28,2.5530587620209197,0.4106460749829421,8.227801025454852,0.0029399377474796404,0.0009475865282478398,0.006361186413799125,0.002512609735150137,0.002307550427651479,0.0678752696916092
18.0,4.42,2.8740481226923054,0.5199058061401145,9.070777232175319,0.01131112205467456,0.0005335162013486138,0.007714614648366425,0.0024665266568866468,0.0010261785770067987,0.0721119759196881
19.0,3.78,2.065156146868756,0.31081959534066594,6.947600977239089,0.002963810036989442,0.0008790014900586857,0.00512354316116026,0.0023856163643745988,0.0028280118126634405,0.0619985394834818
20.0,4.92,1.371013583348874,0.19401772434718043,7.618942066559215,0.0029954131981916004,0.0009327260546776653,0.007191994565279192,0.0027545587543659597,0.004807427017344012,0.0672616062812394
21.0,4.37,1.214439849680877,0.17296630068702296,7.548121740634832,0.003019858904134587,0.0005811089954489907,0.0060953481659580255,0.0022707796575521175,0.0033596659567855535,0.058608661403037
22.0,2.94,0.8782872853635731,0.09199827539782698,5.73615315832111,0.002870003827761166,0.0009198138981785524,0.0071402952821338905,0.0027714569564949313,0.009998164467788643,0.0593116359370052
23.0,3.95,1.9239406867185624,0.28454865490603753,6.85720937951623,0.00284440744869135,0.0009436322175639839,0.007791831548741968,0.0025435103787916345,0.0033162420485148454,0.05170607198748148
24.0,3.97,0.8100854721821702,0.09777736605290269,6.4440889620166555,0.0026393414002373857,0.0009010745495107399,0.009049232521883943,0.002253369552670185,0.009215573876347185,0.054641871938524905
25.0,4.3,2.1850915694193533,0.3464319902238319,7.77262304768809,0.002627173933939964,0.0006998789262039472,0.007952048564574543,0.0023008301428704483,0.0020202491222923776,0.06599376874037677
26.0,4.5600000000000005,2.280018360441109,0.4032572134611584,8.71089399651985,0.012034686294415722,0.0010573318628466176,0.006379257862282994,0.0027349706399312545,0.002621978789045222,0.056117542375553
27.0,4.14,2.7450026092950783,0.4459498424975936,7.9746270169310005,0.0027033592970143318,0.0009813677010564942,0.006167321818830729,0.0022339615924484094,0.002200623490210485,0.07108033735443858
28.0,5.9,2.1614710370128645,0.3718747319159848,8.645461663419674,0.014207925090853278,0.0008654265798976599,0.009209235903472557,0.002724945174219409,0.0023271991971908993,0.0754043403302036
29.0,4.2700000000000005,1.750302066769711,0.2870769190545226,7.326355522199745,0.0028225282810817915,0.0010126676355310725,0.007571139535598181,0.0027791150206975227,0.0035275132370054104,0.05180646372565578
30.0,4.3,2.2982197994222697,0.3342863374266172,8.014572137580856,0.0029069041885934487,0.000762956752312773,0.0095050848518059,0.002380696012894945,0.0022823449977159562,0.08624913114328758
31.0,3.87,1.8443367857004596,0.2549056621410284,6.744910501281425,0.0028228167586632482,0.0008506570133428619,0.005936923610037725,0.002427097499656037,0.0033371444277102216,0.06726173979482286
