wave_id,wait_time_ms,x_end,std_all,ringing_energy,crossing_rate,overshoot_intensity,tail_slope,noise_floor,max_dev_tail_50,max_slope
1.0,2.6,2.433642559453729,0.37090722642938845,12.231704746782256,0.485,0.023162257824267396,5.0617890542015923e-05,0.008863158186951653,0.027758831061166944,0.07843554840147969
2.0,5.0600000000000005,1.2309422487346482,0.22244908891513845,11.560767938715248,0.475,0.02694894688756566,4.371760731804721e-05,0.009991535268798457,0.02705810966423461,0.044025116612069315
3.0,6.47,3.0039240290462312,0.7251416960919296,13.162127986315587,0.5,0.0204383403620767,1.3969048636662471e-05,0.008993294358797956,0.03371834627594916,0.04441144064610292
4.0,0.0,2.9601613877935398,0.07615445755628134,24.861661214607913,0.525,0.8295259780796802,0.00011397047591693567,0.12239364150913593,0.8978447532803608,1.003977502751738
5.0,9.06,2.8187858121020613,0.07111103057531988,11.77798789177129,0.05,0.026093747853658922,8.227444715912088e-05,0.018790823870279957,0.07432673974933746,0.04662083707495235
6.0,3.3000000000000003,2.2994881253223967,0.14112817516862847,11.095092072593548,0.46,0.025632515895807728,5.636336044347412e-05,0.010608415408673678,0.0325683102328318,0.04114429122167129
7.0,2.53,2.70252275169496,0.39577819300027467,12.450704248511439,0.535,0.021776464099140025,2.5249090543032664e-05,0.008695961322652964,0.028286470024312838,0.07742770421112644
8.0,4.21,1.1856102275774385,0.2031507657881457,11.249905643174907,0.495,0.03222054608527869,2.2992510712320527e-05,0.011209544573928263,0.027603281436141325,0.041201145263868755
9.0,5.08,1.252206160244148,0.7501656786279208,12.794453818463644,0.525,0.029238045237233168,9.698713906174437e-06,0.010389703125869083,0.036227483184304576,0.04467823159046547
10.0,0.0,2.541020419853926,0.08021067184119857,26.50019430986658,0.46,0.580831419735707,0.00029488418075307844,0.06478759860121261,0.025043444359340583,1.1073917589248143
11.0,9.99,3.001484510169051,0.12210869752270524,11.192135261585925,0.03,0.03234156169244784,0.001306890670136231,0.04831045024778774,0.16159135897406873,0.04004622057411167
12.0,3.39,2.884012043897193,0.17792488605862714,12.170787185601004,0.53,0.024650068184573826,6.715375654875653e-06,0.010044889833578617,0.024705969923516147,0.04239414799718766
13.0,2.5500000000000003,2.704554451796519,0.3899893818857513,12.669892158380321,0.545,0.022816509922666484,6.834117432581507e-05,0.009321703703513593,0.02926183592499365,0.07462653466626801
14.0,4.32,2.0712698153610747,0.35077217532605703,11.70549935163947,0.53,0.022950426124602963,1.7986385118201042e-05,0.009730234774001742,0.031479022768157616,0.0403191508330929
15.0,9.99,1.362156548451831,0.724458612969391,12.87122338307341,0.485,0.024901823847165883,4.839000139320489e-05,0.009906495154469303,0.02752930198758774,0.041224045284448785
16.0,0.0,1.5365792788385972,0.07394815904158496,22.28946252122831,0.515,0.8896571962569686,0.0001974606539072409,0.09837505415949746,0.9955438868566167,1.1656951774714024
17.0,9.18,1.8883946009007293,0.09140611888394713,11.668261601792041,0.015,0.026733452394869017,0.0010900854807640587,0.03973010631720975,0.0474617550812757,0.04219934902985489
