wave_id,wait_time_ms,x_end,std_all,std_tail_50,max_diff_tail_50,settling_trend,stability_ratio,ringing_energy,max_slope,peak_rel
1.0,3.26,3.051400280832269,0.39709288816331456,0.0025647088387739376,0.012146137033047122,0.9456140009903597,0.006458712580267675,6.887977227652218,0.10219125741679266,0.035497413700567026
2.0,5.48,1.0540639083117511,0.14769156609231418,0.0025098321775260395,0.013986490756381809,1.035693992414857,0.016993740583423265,7.290153574196626,0.06397123233901901,0.07566236498005807
3.0,5.2700000000000005,1.8012091491623776,0.29771837097695375,0.0024803790566157507,0.012930539733513324,0.9705435812569945,0.008331293229051231,7.284989511985778,0.055591996361736395,0.015619642667739964
4.0,3.49,1.329861871263366,0.16204587555329736,0.0017655298330252964,0.008515355157875826,1.1345310300008755,0.010895246892904482,5.982202942295624,0.049181473644809404,0.030818851589322405
5.0,5.17,1.2251790171585666,0.16462280855139466,0.002508001389386168,0.010734522893206755,0.9546889657759531,0.015234835295428358,7.667161144916101,0.06126413701897779,0.06079592869792361
6.0,6.98,1.465410598769967,0.24537750511452613,0.0022353902153043927,0.008972079668943422,1.073405103056177,0.009110004623900037,9.117079079308123,0.0667789315948773,0.07978067078710982
7.0,4.48,2.9379207276328745,0.4357224223527473,0.0021221406766893324,0.008443244512637449,1.0235847817626607,0.004870395836780963,7.510412480632415,0.0838615864709184,0.01594925655791446
8.0,3.6,2.77755170413031,0.4024120327246743,0.0020662024081399737,0.009070999855943729,1.043095830403213,0.005134544285406846,7.22469111011028,0.09344748292555659,0.020391879018936798
9.0,4.88,2.5823837221926498,0.3972852317276418,0.0026119958524836633,0.01033600447577987,0.9901918607017427,0.0065746109779879795,8.035210721716748,0.06555210676035689,0.015129330180764011
10.0,6.99,1.3596804468416113,0.22733779323798883,0.0024787498056025987,0.012092713097878738,1.0233975665694,0.010903377566018418,9.241642638984882,0.0595423518521368,0.06329798853041035
