wave_id,case_id,sample,time_ms,value,sd,low_limit,high_limit
1,1,0,0.0,0.002063248115597448,0.01,2.383607895385378,2.4916810482057112
1,1,1,0.01,0.037237394631969886,0.01,2.383607895385378,2.4916810482057112
1,1,2,0.02,0.11567294303344956,0.01,2.383607895385378,2.4916810482057112
1,1,3,0.03,0.13410230496378014,0.01,2.383607895385378,2.4916810482057112
1,1,4,0.04,0.20010028436444446,0.01,2.383607895385378,2.4916810482057112
1,1,5,0.05,0.22647565812483517,0.01,2.383607895385378,2.4916810482057112
1,1,6,0.06,0.2686873032452139,0.01,2.383607895385378,2.4916810482057112
1,1,7,0.07,0.3227682581503778,0.01,2.383607895385378,2.4916810482057112
1,1,8,0.08,0.36394292271878803,0.01,2.383607895385378,2.4916810482057112
1,1,9,0.09,0.40647361465690657,0.01,2.383607895385378,2.4916810482057112
1,1,10,0.1,0.48006796619326625,0.01,2.383607895385378,2.4916810482057112
1,1,11,0.11,0.5065316209201149,0.01,2.383607895385378,2.4916810482057112
1,1,12,0.12,0.5548949098186945,0.01,2.383607895385378,2.4916810482057112
1,1,13,0.13,0.580222582924219,0.01,2.383607895385378,2.4916810482057112
1,1,14,0.14,0.6217083586165257,0.01,2.383607895385378,2.4916810482057112
1,1,15,0.15,0.668457767893485,0.01,2.383607895385378,2.4916810482057112
1,1,16,0.16,0.6853667333785001,0.01,2.383607895385378,2.4916810482057112
1,1,17,0.17,0.7155809344507839,0.01,2.383607895385378,2.4916810482057112
1,1,18,0.18,0.7764305790178244,0.01,2.383607895385378,2.4916810482057112
1,1,19,0.19,0.7942173405014752,0.01,2.383607895385378,2.4916810482057112
1,1,20,0.2,0.8331446013978047,0.01,2.383607895385378,2.4916810482057112
1,1,21,0.21,0.8557219461574638,0.01,2.383607895385378,2.4916810482057112
1,1,22,0.22,0.921286952257665,0.01,2.383607895385378,2.4916810482057112
1,1,23,0.23,0.936142522540782,0.01,2.383607895385378,2.4916810482057112
1,1,24,0.24,0.9562329770955639,0.01,2.383607895385378,2.4916810482057112
1,1,25,0.25,1.0175477713248482,0.01,2.383607895385378,2.4916810482057112
1,1,26,0.26,1.0341693792057196,0.01,2.383607895385378,2.4916810482057112
1,1,27,0.27,1.0506963925972879,0.01,2.383607895385378,2.4916810482057112
1,1,28,0.28,1.0836773027818414,0.01,2.383607895385378,2.4916810482057112
1,1,29,0.29,1.1085447688332275,0.01,2.383607895385378,2.4916810482057112
1,1,30,0.3,1.1519086764029225,0.01,2.383607895385378,2.4916810482057112
1,1,31,0.31,1.16874106480549,0.01,2.383607895385378,2.4916810482057112
1,1,32,0.32,1.1780678842175338,0.01,2.383607895385378,2.4916810482057112
1,1,33,0.33,1.2325791534506427,0.01,2.383607895385378,2.4916810482057112
1,1,34,0.34,1.228630175018495,0.01,2.383607895385378,2.4916810482057112
1,1,35,0.35000000000000003,1.2629518867764136,0.01,2.383607895385378,2.4916810482057112
1,1,36,0.36,1.285435957209192,0.01,2.383607895385378,2.4916810482057112
1,1,37,0.37,1.3134244292877626,0.01,2.383607895385378,2.4916810482057112
1,1,38,0.38,1.341570826875863,0.01,2.383607895385378,2.4916810482057112
1,1,39,0.39,1.3768606192357395,0.01,2.383607895385378,2.4916810482057112
1,1,40,0.4,1.387094895630821,0.01,2.383607895385378,2.4916810482057112
1,1,41,0.41000000000000003,1.3988956119402314,0.01,2.383607895385378,2.4916810482057112
